"","FID","site_id","name","lon","lat","ONIMI","OKOOD","MNIMI","MKOOD","lau2","lon_cntr","lat_cntr"
"1",0,346,"LUIGE",24.77665278,59.34361111,"Kiili vald",304,"Harju maakond",37,304,24.849682094,59.2890849055
"2",1,225,"KIIMA",24.84833056,59.31415833,"Kiili vald",304,"Harju maakond",37,304,24.849682094,59.2890849055
"3",2,224,"KIILI",24.83505278,59.30666667,"Kiili vald",304,"Harju maakond",37,304,24.849682094,59.2890849055
"4",3,347,"LUIGQ",24.77277778,59.32528056,"Kiili vald",304,"Harju maakond",37,304,24.849682094,59.2890849055
"5",4,899,"PAEKN",24.83417222,59.26249722,"Kiili vald",304,"Harju maakond",37,304,24.849682094,59.2890849055
"6",5,708,"UHTNA",26.58443889,59.40694167,"Sõmeru vald",770,"Lääne-Viru maakond",59,770,26.4939661328,59.397459309
"7",6,410,"NAPI",26.39778333,59.36778333,"Sõmeru vald",770,"Lääne-Viru maakond",59,770,26.4939661328,59.397459309
"8",7,448,"PAIKQ",24.64472222,58.37638333,"Paikuse vald",568,"Pärnu maakond",67,568,24.7766632096,58.3647089971
"9",8,610,"SMETS",24.66415556,58.35999444,"Paikuse vald",568,"Pärnu maakond",67,568,24.7766632096,58.3647089971
"10",9,966,"PASIL",24.622494,58.346669,"Paikuse vald",568,"Pärnu maakond",67,568,24.7766632096,58.3647089971
"11",10,416,"NEEME",25.16435556,59.52916667,"Jõelähtme vald",245,"Harju maakond",37,245,25.1356324047,59.4477133397
"12",11,946,"HAPSE",25.2925,59.49694444,"Jõelähtme vald",245,"Harju maakond",37,245,25.1356324047,59.4477133397
"13",12,138,"JAGLQ",25.19360556,59.45694167,"Jõelähtme vald",245,"Harju maakond",37,245,25.1356324047,59.4477133397
"14",13,146,"JOELA",25.14500556,59.43971944,"Jõelähtme vald",245,"Harju maakond",37,245,25.1356324047,59.4477133397
"15",14,597,"SAVIR",25.04710556,59.49765833,"Jõelähtme vald",245,"Harju maakond",37,245,25.1356324047,59.4477133397
"16",15,1021,"REBAL",25.06055556,59.45444444,"Jõelähtme vald",245,"Harju maakond",37,245,25.1356324047,59.4477133397
"17",16,267,"KOSTI",25.09638889,59.42916667,"Jõelähtme vald",245,"Harju maakond",37,245,25.1356324047,59.4477133397
"18",17,582,"SAHAL",24.94472222,59.425,"Jõelähtme vald",245,"Harju maakond",37,245,25.1356324047,59.4477133397
"19",18,1048,"LOOVT",24.94886667,59.432025,"Jõelähtme vald",245,"Harju maakond",37,245,25.1356324047,59.4477133397
"20",19,569,"ROOSN",25.72943333,59.01804722,"Roosna-Alliku vald",684,"Järva maakond",51,684,25.7154468055,59.0089999845
"21",20,869,"ORU",24.98166667,59.1925,"Kose vald",337,"Harju maakond",37,337,25.1066440122,59.1935046924
"22",21,266,"KOSE",25.14804444,59.18721667,"Kose vald",337,"Harju maakond",37,337,25.1066440122,59.1935046924
"23",22,1029,"VARDJ",25.20722222,59.17,"Kose vald",337,"Harju maakond",37,337,25.1066440122,59.1935046924
"24",23,5,"AEGVI",25.60415833,59.29027778,"Aegviidu vald",112,"Harju maakond",37,112,25.6202148665,59.2794606822
"25",24,50,"BODIL",25.08176667,59.35921667,"Raasiku vald",651,"Harju maakond",37,651,25.1319450905,59.3242694413
"26",25,522,"RAASI",25.17776667,59.365,"Raasiku vald",651,"Harju maakond",37,651,25.1319450905,59.3242694413
"27",26,817,"AKYLQ",25.04999167,59.36666667,"Raasiku vald",651,"Harju maakond",37,651,25.1319450905,59.3242694413
"28",27,695,"TUDLI",27.07109444,59.03388333,"Tudulinna vald",815,"Ida-Viru maakond",44,815,27.0172481424,59.0767455401
"29",28,604,"SILLQ",27.77313889,59.38944167,"Vaivara vald",851,"Ida-Viru maakond",44,851,27.8827796677,59.331780323
"30",29,60,"EESEJ",27.90785278,59.27314167,"Vaivara vald",851,"Ida-Viru maakond",44,851,27.8827796677,59.331780323
"31",30,780,"VODAV",28.06833056,59.40526944,"Vaivara vald",851,"Ida-Viru maakond",44,851,27.8827796677,59.331780323
"32",31,956,"LAAGN",27.97611111,59.38972222,"Vaivara vald",851,"Ida-Viru maakond",44,851,27.8827796677,59.331780323
"33",32,61,"EESMA",27.87630556,59.26635556,"Vaivara vald",851,"Ida-Viru maakond",44,851,27.8827796677,59.331780323
"34",33,876,"VIIVI",27.65667222,59.33555556,"Vaivara vald",851,"Ida-Viru maakond",44,851,27.8827796677,59.331780323
"35",34,993,"VAIVA",27.87444444,59.37416667,"Vaivara vald",851,"Ida-Viru maakond",44,851,27.8827796677,59.331780323
"36",35,338,"LOKSA",25.73473056,59.585,"Kuusalu vald",353,"Harju maakond",37,353,25.6482832547,59.459399625
"37",36,252,"KOLGA",25.57555556,59.48888889,"Kuusalu vald",353,"Harju maakond",37,353,25.6482832547,59.459399625
"38",37,288,"KUUSA",25.42221667,59.455275,"Kuusalu vald",353,"Harju maakond",37,353,25.6482832547,59.459399625
"39",38,255,"KONNU",25.71194167,59.45971667,"Kuusalu vald",353,"Harju maakond",37,353,25.6482832547,59.459399625
"40",39,464,"PARIS",25.69971389,59.64416667,"Kuusalu vald",353,"Harju maakond",37,353,25.6482832547,59.459399625
"41",40,1,"AABLA",25.52110556,59.58555556,"Kuusalu vald",353,"Harju maakond",37,353,25.6482832547,59.459399625
"42",41,152,"JUMIN",25.50000556,59.64583056,"Kuusalu vald",353,"Harju maakond",37,353,25.6482832547,59.459399625
"43",42,159,"KABER",25.26499167,59.47360833,"Kuusalu vald",353,"Harju maakond",37,353,25.6482832547,59.459399625
"44",43,728,"VALKL",25.355,59.47638056,"Kuusalu vald",353,"Harju maakond",37,353,25.6482832547,59.459399625
"45",44,573,"RUMMU",24.20352222,59.23130556,"Vasalemma vald",868,"Harju maakond",37,868,24.2498057927,59.237986406
"46",45,744,"VASAL",24.28193889,59.23444167,"Vasalemma vald",868,"Harju maakond",37,868,24.2498057927,59.237986406
"47",46,443,"PADIS",24.08635278,59.21621667,"Padise vald",562,"Harju maakond",37,562,23.9818282041,59.2195253675
"48",47,123,"HRIST",24.00639167,59.22750278,"Padise vald",562,"Harju maakond",37,562,23.9818282041,59.2195253675
"49",48,208,"KEIBU",23.77304444,59.25833056,"Padise vald",562,"Harju maakond",37,562,23.9818282041,59.2195253675
"50",49,1033,"VIHTM",23.87611111,59.25333333,"Padise vald",562,"Harju maakond",37,562,23.9818282041,59.2195253675
"51",50,276,"KUKRU",27.32888056,59.38638333,"Kohtla vald",320,"Ida-Viru maakond",44,320,27.288243553,59.3960912082
"52",51,43,"AVINU",26.87694722,58.98776667,"Avinurme vald",164,"Ida-Viru maakond",44,164,26.8605054217,58.9742809276
"53",52,844,"ADRAK",26.80361667,58.90472222,"Avinurme vald",164,"Ida-Viru maakond",44,164,26.8605054217,58.9742809276
"54",53,241,"KNOMM",27.19667778,59.34808056,"Kohtla-Nõmme vald",323,"Ida-Viru maakond",44,323,27.1931523173,59.3569514971
"55",54,675,"TOILA",27.52943889,59.41472222,"Toila vald",802,"Ida-Viru maakond",44,802,27.5895753196,59.3648185396
"56",55,873,"TOISA",27.51361389,59.42528056,"Toila vald",802,"Ida-Viru maakond",44,802,27.5895753196,59.3648185396
"57",56,357,"MAIDL",27.02058333,59.33536667,"Maidla vald",449,"Ida-Viru maakond",44,449,27.0281673696,59.2539384924
"58",57,35,"ASERI",26.84988056,59.45638889,"Aseri vald",154,"Ida-Viru maakond",44,154,26.8520754649,59.4347942165
"59",58,85,"ESTON",27.39220278,59.20101389,"Mäetaguse vald",498,"Ida-Viru maakond",44,498,27.2644056784,59.2260396755
"60",59,355,"MAETA",27.29387778,59.22805556,"Mäetaguse vald",498,"Ida-Viru maakond",44,498,27.2644056784,59.2260396755
"61",60,19,"ALJOE",27.43581944,59.01360833,"Alajõe vald",122,"Ida-Viru maakond",44,122,27.5107612034,59.0269199704
"62",61,938,"AAMAS",27.15611111,59.43527778,"Lüganuse vald",437,"Ida-Viru maakond",44,437,27.0835259224,59.4002894147
"63",62,514,"PURTS",27.01766667,59.41758056,"Lüganuse vald",437,"Ida-Viru maakond",44,437,27.0835259224,59.4002894147
"64",63,33,"ARKMA",25.56871667,58.66516667,"Türi vald",835,"Järva maakond",51,835,25.4385840297,58.7374146658
"65",64,232,"KIRNA",25.47389167,58.84944167,"Türi vald",835,"Järva maakond",51,835,25.4385840297,58.7374146658
"66",65,427,"OISU",25.57026667,58.75833056,"Türi vald",835,"Järva maakond",51,835,25.4385840297,58.7374146658
"67",66,705,"TYREE",25.42970556,58.81904444,"Türi vald",835,"Järva maakond",51,835,25.4385840297,58.7374146658
"68",67,706,"TYRI",25.42954444,58.79328056,"Türi vald",835,"Järva maakond",51,835,25.4385840297,58.7374146658
"69",68,919,"TYTEH",25.40777778,58.8175,"Türi vald",835,"Järva maakond",51,835,25.4385840297,58.7374146658
"70",69,1050,"KOLUM",25.255,58.79861111,"Türi vald",835,"Järva maakond",51,835,25.4385840297,58.7374146658
"71",70,200,"KAUKS",27.23027222,59.00389167,"Iisaku vald",224,"Ida-Viru maakond",44,224,27.3310010544,59.0871125213
"72",71,130,"IISAK",27.31333056,59.09305556,"Iisaku vald",224,"Ida-Viru maakond",44,224,27.3310010544,59.0871125213
"73",72,336,"LOHSU",27.04815833,58.94621667,"Lohusuu vald",420,"Ida-Viru maakond",44,420,26.9992847532,58.9461145791
"74",73,476,"PERMI",27.77609722,59.08582778,"Illuka vald",229,"Ida-Viru maakond",44,229,27.6299614086,59.1681013766
"75",74,282,"KUREM",27.54444167,59.19305278,"Illuka vald",229,"Ida-Viru maakond",44,229,27.6299614086,59.1681013766
"76",75,886,"ILLUQ",27.51305278,59.23943889,"Illuka vald",229,"Ida-Viru maakond",44,229,27.6299614086,59.1681013766
"77",76,248,"KOIGI",25.74635278,58.82923056,"Koigi vald",325,"Järva maakond",51,325,25.8414711383,58.8364904057
"78",77,277,"KULEE",24.08804444,58.88583056,"Kullamaa vald",342,"Lääne maakond",57,342,24.0437289775,58.850647552
"79",78,278,"KULLA",24.04360833,58.84139167,"Kullamaa vald",342,"Lääne maakond",57,342,24.0437289775,58.850647552
"80",79,454,"PALIV",23.83500278,58.96971667,"Taebla vald",776,"Lääne maakond",57,776,23.8305205297,58.9669118502
"81",80,452,"PALAS",23.88166667,58.96776944,"Taebla vald",776,"Lääne maakond",57,776,23.8305205297,58.9669118502
"82",81,637,"TAEBL",23.74055833,58.95471944,"Taebla vald",776,"Lääne maakond",57,776,23.8305205297,58.9669118502
"83",82,303,"LAIKY",23.99624444,58.76435556,"Martna vald",452,"Lääne maakond",57,452,23.8620089912,58.8420381155
"84",83,368,"MARTN",23.77973056,58.83083333,"Martna vald",452,"Lääne maakond",57,452,23.8620089912,58.8420381155
"85",84,564,"ROKYL",23.43249167,58.91555556,"Ridala vald",674,"Lääne maakond",57,674,23.5860176956,58.8671861188
"86",85,606,"SINAL",23.57582778,58.83250278,"Ridala vald",674,"Lääne maakond",57,674,23.5860176956,58.8671861188
"87",86,714,"UUEM",23.59111389,58.94471944,"Ridala vald",674,"Lääne maakond",57,674,23.5860176956,58.8671861188
"88",87,965,"PARRL",23.62055556,58.86444444,"Ridala vald",674,"Lääne maakond",57,674,23.5860176956,58.8671861188
"89",88,323,"LIHUL",23.81944167,58.67638333,"Lihula vald",411,"Lääne maakond",57,411,23.8511700439,58.6906501727
"90",89,787,"VORMS",23.23527778,58.99556389,"Vormsi vald",907,"Lääne maakond",57,907,23.2443374601,59.0036951804
"91",90,254,"KOMSI",23.62861389,58.62416389,"Hanila vald",195,"Lääne maakond",57,195,23.654080239,58.6087927103
"92",91,491,"PIVAR",23.61630833,58.54385833,"Hanila vald",195,"Lääne maakond",57,195,23.654080239,58.6087927103
"93",92,586,"SALEV",23.57833333,58.68971944,"Hanila vald",195,"Lääne maakond",57,195,23.654080239,58.6087927103
"94",93,772,"VIRTS",23.525,58.57416389,"Hanila vald",195,"Lääne maakond",57,195,23.654080239,58.6087927103
"95",94,846,"JMAAG",27.43277778,59.36444167,"Jõhvi vald",251,"Ida-Viru maakond",44,251,27.4083585251,59.3424391632
"96",95,149,"JOHKE",27.41439167,59.35791667,"Jõhvi vald",251,"Ida-Viru maakond",44,251,27.4083585251,59.3424391632
"97",96,150,"JOHVI",27.41305,59.35221111,"Jõhvi vald",251,"Ida-Viru maakond",44,251,27.4083585251,59.3424391632
"98",97,888,"JOHKL",27.41028611,59.36333056,"Jõhvi vald",251,"Ida-Viru maakond",44,251,27.4083585251,59.3424391632
"99",98,1039,"JOHEE",27.39035556,59.35712778,"Jõhvi vald",251,"Ida-Viru maakond",44,251,27.4083585251,59.3424391632
"100",99,398,"MURST",24.42920833,59.45702222,"Harku vald",198,"Harju maakond",37,198,24.4423527201,59.4035370046
"101",100,210,"KEILA",24.45637778,59.31138889,"Harku vald",198,"Harju maakond",37,198,24.4423527201,59.4035370046
"102",101,393,"MPIIR",24.46194167,59.46721944,"Harku vald",198,"Harju maakond",37,198,24.4423527201,59.4035370046
"103",102,628,"SUURU",24.37527222,59.46194444,"Harku vald",198,"Harju maakond",37,198,24.4423527201,59.4035370046
"104",103,775,"VJOES",24.37249167,59.43333056,"Harku vald",198,"Harju maakond",37,198,24.4423527201,59.4035370046
"105",104,1001,"KJSIK",24.29972222,59.40722222,"Harku vald",198,"Harju maakond",37,198,24.4423527201,59.4035370046
"106",105,52,"CERES",24.59569444,59.41427778,"Harku vald",198,"Harju maakond",37,198,24.4423527201,59.4035370046
"107",106,635,"TABAS",24.54916667,59.42833056,"Harku vald",198,"Harju maakond",37,198,24.4423527201,59.4035370046
"108",107,887,"INSTI",24.5775,59.38778056,"Harku vald",198,"Harju maakond",37,198,24.4423527201,59.4035370046
"109",108,895,"LIIKV",24.41334167,59.42916111,"Harku vald",198,"Harju maakond",37,198,24.4423527201,59.4035370046
"110",109,337,"LOHUS",24.23526667,59.3825,"Keila vald",295,"Harju maakond",37,295,24.291986319,59.3161718668
"111",110,954,"KLOGA",24.23027778,59.31861111,"Keila vald",295,"Harju maakond",37,295,24.291986319,59.3161718668
"112",111,237,"KJORL",24.27569444,59.39740833,"Keila vald",295,"Harju maakond",37,295,24.291986319,59.3161718668
"113",112,239,"KLOOG",24.25716667,59.32078056,"Keila vald",295,"Harju maakond",37,295,24.291986319,59.3161718668
"114",113,309,"LAULA",24.30526667,59.37194167,"Keila vald",295,"Harju maakond",37,295,24.291986319,59.3161718668
"115",114,312,"LEHOL",24.32804722,59.28972222,"Keila vald",295,"Harju maakond",37,295,24.291986319,59.3161718668
"116",115,890,"KKYLA",24.3925,59.34055556,"Keila vald",295,"Harju maakond",37,295,24.291986319,59.3161718668
"117",116,451,"PALAD",22.91284444,58.96478333,"Pühalepa vald",639,"Hiiu maakond",39,639,22.8610846969,58.921633515
"118",117,627,"SUURE",22.94001944,58.87093889,"Pühalepa vald",639,"Hiiu maakond",39,639,22.8610846969,58.921633515
"119",118,947,"HELTE",23.04722222,58.86666667,"Pühalepa vald",639,"Hiiu maakond",39,639,22.8610846969,58.921633515
"120",119,640,"TALI",24.77388056,58.06999167,"Saarde vald",710,"Pärnu maakond",67,710,24.9531904485,58.1477549275
"121",120,228,"KILNO",24.94861389,58.14888056,"Saarde vald",710,"Pärnu maakond",67,710,24.9531904485,58.1477549275
"122",121,229,"KILNQ",24.99944444,58.15666944,"Saarde vald",710,"Pärnu maakond",67,710,24.9531904485,58.1477549275
"123",122,175,"KANAK",25.13159444,58.25042222,"Saarde vald",710,"Pärnu maakond",67,710,24.9531904485,58.1477549275
"124",123,560,"ROELA",26.61166667,59.16582222,"Vinni vald",900,"Lääne-Viru maakond",59,900,26.6047305328,59.2134172305
"125",124,768,"VINNI",26.41930278,59.30473056,"Vinni vald",900,"Lääne-Viru maakond",59,900,26.6047305328,59.2134172305
"126",125,774,"VJAAG",26.47554722,59.24999444,"Vinni vald",900,"Lääne-Viru maakond",59,900,26.6047305328,59.2134172305
"127",126,1015,"PJUST",26.41472222,59.28111111,"Vinni vald",900,"Lääne-Viru maakond",59,900,26.6047305328,59.2134172305
"128",127,696,"TUDU",26.83334167,59.18638889,"Vinni vald",900,"Lääne-Viru maakond",59,900,26.6047305328,59.2134172305
"129",128,904,"PIIRA",26.37499167,59.32305556,"Vinni vald",900,"Lääne-Viru maakond",59,900,26.6047305328,59.2134172305
"130",129,549,"RIKYL",24.74223056,58.19278056,"Surju vald",756,"Pärnu maakond",67,756,24.7795654515,58.2486462093
"131",130,843,"KARED",25.79308333,58.97265556,"Kareda vald",288,"Järva maakond",51,288,25.818779186,58.9413773729
"132",131,294,"KYLIT",26.57075556,58.29570278,"Nõo vald",528,"Tartu maakond",78,528,26.5121225868,58.2521525734
"133",132,421,"NOO",26.52887222,58.27305556,"Nõo vald",528,"Tartu maakond",78,528,26.5121225868,58.2521525734
"134",133,874,"TORAV",26.46471944,58.26583056,"Nõo vald",528,"Tartu maakond",78,528,26.5121225868,58.2521525734
"135",134,566,"RONGU",26.26193056,58.13776944,"Rõngu vald",694,"Tartu maakond",78,694,26.2417326096,58.1674141664
"136",135,145,"JJAAN",25.89444167,59.04026667,"Järva-Jaani vald",257,"Järva maakond",51,257,25.9100108653,59.0460072595
"137",136,595,"SAUKO",24.50855556,58.43130833,"Sauga vald",730,"Pärnu maakond",67,730,24.5652136738,58.447373832
"138",137,1006,"KILKS",24.61583333,58.45138889,"Sauga vald",730,"Pärnu maakond",67,730,24.5652136738,58.447373832
"139",138,203,"KDRIN",26.14027222,59.34860556,"Kadrina vald",272,"Lääne-Viru maakond",59,272,26.0480668662,59.3711160051
"140",139,163,"KADMA",26.09889167,59.37638333,"Kadrina vald",272,"Lääne-Viru maakond",59,272,26.0480668662,59.3711160051
